symbol,tushare_symbol,rqalpha_symbol,name,asset_class,region,currency,role,data_source,start_date
510300.SS,510300.SH,510300.XSHG,沪深300ETF,equity,China,CNY,tradable,Tushare Pro,2012-05-28
510500.SS,510500.SH,510500.XSHG,中证500ETF,equity,China,CNY,tradable,Tushare Pro,2013-03-15
513500.SS,513500.SH,513500.XSHG,标普500ETF,equity,United States,CNY,tradable,Tushare Pro,2014-01-15
513100.SS,513100.SH,513100.XSHG,纳指ETF,equity,United States,CNY,tradable,Tushare Pro,2013-05-15
159920.SZ,159920.SZ,159920.XSHE,恒生ETF,equity,Hong Kong,CNY,tradable,Tushare Pro,2012-10-22
513520.SS,513520.SH,513520.XSHG,日经ETF,equity,Japan,CNY,tradable,Tushare Pro,2019-06-25
513030.SS,513030.SH,513030.XSHG,德国ETF,equity,Germany,CNY,tradable,Tushare Pro,2014-09-05
518880.SS,518880.SH,518880.XSHG,黄金ETF,gold,Global,CNY,tradable,Tushare Pro,2013-07-29
159980.SZ,159980.SZ,159980.XSHE,有色ETF,commodity,China,CNY,tradable,Tushare Pro,2019-12-24
511010.SS,511010.SH,511010.XSHG,国债ETF,bond,China,CNY,tradable,Tushare Pro,2013-03-25
511260.SS,511260.SH,511260.XSHG,十年国债ETF,bond,China,CNY,tradable,Tushare Pro,2017-08-24
511880.SS,511880.SH,511880.XSHG,银华日利,cash,China,CNY,tradable,Tushare Pro,2013-04-18
