date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2012-05-28,2.60400000,,,,,,,,,,,
2012-05-29,2.64400000,,,,,,,,,,,
2012-05-30,2.63600000,,,,,,,,,,,
2012-05-31,2.63000000,,,,,,,,,,,
2012-06-01,2.63000000,,,,,,,,,,,
2012-06-04,2.55800000,,,,,,,,,,,
2012-06-05,2.56100000,,,,,,,,,,,
2012-06-06,2.55900000,,,,,,,,,,,
2012-06-07,2.54300000,,,,,,,,,,,
2012-06-08,2.53400000,,,,,,,,,,,
2012-06-11,2.56400000,,,,,,,,,,,
2012-06-12,2.54800000,,,,,,,,,,,
2012-06-13,2.58500000,,,,,,,,,,,
2012-06-14,2.57400000,,,,,,,,,,,
2012-06-15,2.58400000,,,,,,,,,,,
2012-06-18,2.59200000,,,,,,,,,,,
2012-06-19,2.57300000,,,,,,,,,,,
2012-06-20,2.57000000,,,,,,,,,,,
2012-06-21,2.53000000,,,,,,,,,,,
2012-06-25,2.48000000,,,,,,,,,,,
2012-06-26,2.48000000,,,,,,,,,,,
2012-06-27,2.47100000,,,,,,,,,,,
2012-06-28,2.45700000,,,,,,,,,,,
2012-06-29,2.48500000,,,,,,,,,,,
2012-07-02,2.48500000,,,,,,,,,,,
2012-07-03,2.48900000,,,,,,,,,,,
2012-07-04,2.48900000,,,,,,,,,,,
2012-07-05,2.46100000,,,,,,,,,,,
2012-07-06,2.50100000,,,,,,,,,,,
2012-07-09,2.45100000,,,,,,,,,,,
2012-07-10,2.44100000,,,,,,,,,,,
2012-07-11,2.45200000,,,,,,,,,,,
2012-07-12,2.47400000,,,,,,,,,,,
2012-07-13,2.47800000,,,,,,,,,,,
2012-07-16,2.43800000,,,,,,,,,,,
2012-07-17,2.44300000,,,,,,,,,,,
2012-07-18,2.44300000,,,,,,,,,,,
2012-07-19,2.45100000,,,,,,,,,,,
2012-07-20,2.43300000,,,,,,,,,,,
2012-07-23,2.40300000,,,,,,,,,,,
2012-07-24,2.40800000,,,,,,,,,,,
2012-07-25,2.39300000,,,,,,,,,,,
2012-07-26,2.38200000,,,,,,,,,,,
2012-07-27,2.38500000,,,,,,,,,,,
2012-07-30,2.37700000,,,,,,,,,,,
2012-07-31,2.37100000,,,,,,,,,,,
2012-08-01,2.38900000,,,,,,,,,,,
2012-08-02,2.37100000,,,,,,,,,,,
2012-08-03,2.38500000,,,,,,,,,,,
2012-08-06,2.41600000,,,,,,,,,,,
2012-08-07,2.41900000,,,,,,,,,,,
2012-08-08,2.42100000,,,,,,,,,,,
2012-08-09,2.44500000,,,,,,,,,,,
2012-08-10,2.43800000,,,,,,,,,,,
2012-08-13,2.39200000,,,,,,,,,,,
2012-08-14,2.38800000,,,,,,,,,,,
2012-08-15,2.36600000,,,,,,,,,,,
2012-08-16,2.35900000,,,,,,,,,,,
2012-08-17,2.34900000,,,,,,,,,,,
2012-08-20,2.33600000,,,,,,,,,,,
2012-08-21,2.34500000,,,,,,,,,,,
2012-08-22,2.32800000,,,,,,,,,,,
2012-08-23,2.33900000,,,,,,,,,,,
2012-08-24,2.31600000,,,,,,,,,,,
2012-08-27,2.26800000,,,,,,,,,,,
2012-08-28,2.26800000,,,,,,,,,,,
2012-08-29,2.25300000,,,,,,,,,,,
2012-08-30,2.24300000,,,,,,,,,,,
2012-08-31,2.24300000,,,,,,,,,,,
2012-09-03,2.25700000,,,,,,,,,,,
2012-09-04,2.23300000,,,,,,,,,,,
2012-09-05,2.23200000,,,,,,,,,,,
2012-09-06,2.25400000,,,,,,,,,,,
2012-09-07,2.35700000,,,,,,,,,,,
2012-09-10,2.36500000,,,,,,,,,,,
2012-09-11,2.34700000,,,,,,,,,,,
2012-09-12,2.35900000,,,,,,,,,,,
2012-09-13,2.33600000,,,,,,,,,,,
2012-09-14,2.35200000,,,,,,,,,,,
2012-09-17,2.29700000,,,,,,,,,,,
2012-09-18,2.26900000,,,,,,,,,,,
2012-09-19,2.27800000,,,,,,,,,,,
