date,510150.SS,510660.SS,512000.SS,512660.SS,512700.SS,512400.SS,512200.SS,512980.SS,515210.SS,515220.SS,159997.SZ,511010.SS
2011-02-25,3.07600000,,,,,,,,,,,
2011-02-28,3.11300000,,,,,,,,,,,
2011-03-01,3.13600000,,,,,,,,,,,
2011-03-02,3.12800000,,,,,,,,,,,
2011-03-03,3.08100000,,,,,,,,,,,
2011-03-04,3.09800000,,,,,,,,,,,
2011-03-07,3.12200000,,,,,,,,,,,
2011-03-08,3.13300000,,,,,,,,,,,
2011-03-09,3.13100000,,,,,,,,,,,
2011-03-10,3.12000000,,,,,,,,,,,
2011-03-11,3.11900000,,,,,,,,,,,
2011-03-14,3.15000000,,,,,,,,,,,
2011-03-15,3.10000000,,,,,,,,,,,
2011-03-16,3.12700000,,,,,,,,,,,
2011-03-17,3.08700000,,,,,,,,,,,
2011-03-18,3.10000000,,,,,,,,,,,
2011-03-21,3.08600000,,,,,,,,,,,
2011-03-22,3.05400000,,,,,,,,,,,
2011-03-23,3.08300000,,,,,,,,,,,
2011-03-24,3.08800000,,,,,,,,,,,
2011-03-25,3.09800000,,,,,,,,,,,
2011-03-28,3.07700000,,,,,,,,,,,
2011-03-29,3.00500000,,,,,,,,,,,
2011-03-30,3.00100000,,,,,,,,,,,
2011-03-31,2.98100000,,,,,,,,,,,
2011-04-01,2.98900000,,,,,,,,,,,
2011-04-06,2.99900000,,,,,,,,,,,
2011-04-07,2.99800000,,,,,,,,,,,
2011-04-08,3.02900000,,,,,,,,,,,
2011-04-11,3.02800000,,,,,,,,,,,
2011-04-12,3.02700000,,,,,,,,,,,
2011-04-13,3.06300000,,,,,,,,,,,
2011-04-14,3.05400000,,,,,,,,,,,
2011-04-15,3.04300000,,,,,,,,,,,
2011-04-18,3.01700000,,,,,,,,,,,
2011-04-19,3.01700000,,,,,,,,,,,
2011-04-20,3.04300000,,,,,,,,,,,
2011-04-21,3.04000000,,,,,,,,,,,
2011-04-22,3.04500000,,,,,,,,,,,
2011-04-25,3.04800000,,,,,,,,,,,
2011-04-26,3.01200000,,,,,,,,,,,
2011-04-27,2.94400000,,,,,,,,,,,
2011-04-28,2.93100000,,,,,,,,,,,
2011-04-29,2.99000000,,,,,,,,,,,
2011-05-03,2.97900000,,,,,,,,,,,
2011-05-04,2.91700000,,,,,,,,,,,
2011-05-05,2.91700000,,,,,,,,,,,
2011-05-06,2.95100000,,,,,,,,,,,
2011-05-09,2.95000000,,,,,,,,,,,
2011-05-10,2.94000000,,,,,,,,,,,
2011-05-11,2.92900000,,,,,,,,,,,
2011-05-12,2.93300000,,,,,,,,,,,
2011-05-13,2.94100000,,,,,,,,,,,
2011-05-16,2.92800000,,,,,,,,,,,
2011-05-17,2.94400000,,,,,,,,,,,
2011-05-18,2.94600000,,,,,,,,,,,
2011-05-19,2.95200000,,,,,,,,,,,
2011-05-20,2.93000000,,,,,,,,,,,
