strategy,execution_date,symbol,target_weight,listed_date,price_available,violation_type
S27A,2012-06-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-07-02,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-08-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-09-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-10-08,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-11-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2012-12-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2013-01-04,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2013-02-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S27A,2013-03-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-06-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-07-02,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-08-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-09-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-10-08,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-11-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2012-12-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2013-01-04,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2013-02-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S10A,2013-03-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-06-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-07-02,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-08-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-09-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-10-08,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-11-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2012-12-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2013-01-04,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2013-02-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4C,2013-03-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-06-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-07-02,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-08-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-09-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-10-08,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-11-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2012-12-03,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2013-01-04,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2013-02-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
S4A,2013-03-01,511010.SS,1.0,2013-03-25,False,INACTIVE_ASSET
