series,year,return
S2_R1_committed_anchor,2013,-0.16284072
S2_R1_committed_anchor,2014,0.15204571
S2_R1_committed_anchor,2015,0.07139417
S2_R1_committed_anchor,2016,0.09205088
S2_R1_committed_anchor,2017,0.11510067
S2_R1_committed_anchor,2018,-0.00207103
S2_R1_committed_anchor,2019,0.09522504
S2_R1_committed_anchor,2020,0.07145486
S2_R1_committed_anchor,2021,0.09211959
S2_R1_committed_anchor,2022,-0.04572257
S2_R1_committed_anchor,2023,0.07007052
S2_R1_committed_anchor,2024,0.13133903
S2_R1_committed_anchor,2025,0.23072302
S2_R1_committed_anchor,2026,0.02644007
S4C_R1_committed_anchor,2013,-0.03399291
S4C_R1_committed_anchor,2014,0.18065986
S4C_R1_committed_anchor,2015,0.08981573
S4C_R1_committed_anchor,2016,0.12698394
S4C_R1_committed_anchor,2017,0.13009266
S4C_R1_committed_anchor,2018,-0.05651054
S4C_R1_committed_anchor,2019,0.21359259
S4C_R1_committed_anchor,2020,0.21094401
S4C_R1_committed_anchor,2021,0.06566066
S4C_R1_committed_anchor,2022,-0.08073119
S4C_R1_committed_anchor,2023,0.11038570
S4C_R1_committed_anchor,2024,0.26825657
S4C_R1_committed_anchor,2025,0.31008595
S4C_R1_committed_anchor,2026,0.10389949
BLEND_S2_100_S4C_00,2013,-0.16284072
BLEND_S2_100_S4C_00,2014,0.15074818
BLEND_S2_100_S4C_00,2015,0.08871830
BLEND_S2_100_S4C_00,2016,0.09110085
BLEND_S2_100_S4C_00,2017,0.11416230
BLEND_S2_100_S4C_00,2018,-0.00138748
BLEND_S2_100_S4C_00,2019,0.09449956
BLEND_S2_100_S4C_00,2020,0.07710950
BLEND_S2_100_S4C_00,2021,0.09344110
BLEND_S2_100_S4C_00,2022,-0.04510207
BLEND_S2_100_S4C_00,2023,0.06748791
BLEND_S2_100_S4C_00,2024,0.13187506
BLEND_S2_100_S4C_00,2025,0.23134133
BLEND_S2_100_S4C_00,2026,0.02548705
BLEND_S2_75_S4C_25,2013,-0.12975469
BLEND_S2_75_S4C_25,2014,0.15949861
BLEND_S2_75_S4C_25,2015,0.08993827
BLEND_S2_75_S4C_25,2016,0.10047276
BLEND_S2_75_S4C_25,2017,0.11839622
BLEND_S2_75_S4C_25,2018,-0.01520704
BLEND_S2_75_S4C_25,2019,0.12375725
BLEND_S2_75_S4C_25,2020,0.11023182
BLEND_S2_75_S4C_25,2021,0.08666181
BLEND_S2_75_S4C_25,2022,-0.05330625
BLEND_S2_75_S4C_25,2023,0.07836416
BLEND_S2_75_S4C_25,2024,0.16663924
BLEND_S2_75_S4C_25,2025,0.25085205
BLEND_S2_75_S4C_25,2026,0.04511079
BLEND_S2_50_S4C_50,2013,-0.09724059
BLEND_S2_50_S4C_50,2014,0.16716962
BLEND_S2_50_S4C_50,2015,0.09062036
BLEND_S2_50_S4C_50,2016,0.10955896
BLEND_S2_50_S4C_50,2017,0.12250726
BLEND_S2_50_S4C_50,2018,-0.02902189
BLEND_S2_50_S4C_50,2019,0.15326866
BLEND_S2_50_S4C_50,2020,0.14371226
BLEND_S2_50_S4C_50,2021,0.07972451
BLEND_S2_50_S4C_50,2022,-0.06205254
BLEND_S2_50_S4C_50,2023,0.08917448
BLEND_S2_50_S4C_50,2024,0.20095677
BLEND_S2_50_S4C_50,2025,0.27044584
BLEND_S2_50_S4C_50,2026,0.06473007
BLEND_S2_25_S4C_75,2013,-0.06529762
BLEND_S2_25_S4C_75,2014,0.17430339
BLEND_S2_25_S4C_75,2015,0.09078955
BLEND_S2_25_S4C_75,2016,0.11847198
BLEND_S2_25_S4C_75,2017,0.12649977
BLEND_S2_25_S4C_75,2018,-0.04273020
BLEND_S2_25_S4C_75,2019,0.18326359
BLEND_S2_25_S4C_75,2020,0.17748629
BLEND_S2_25_S4C_75,2021,0.07272910
BLEND_S2_25_S4C_75,2022,-0.07115779
BLEND_S2_25_S4C_75,2023,0.09998625
BLEND_S2_25_S4C_75,2024,0.23482807
BLEND_S2_25_S4C_75,2025,0.29024461
BLEND_S2_25_S4C_75,2026,0.08444396
BLEND_S2_00_S4C_100,2013,-0.03399291
BLEND_S2_00_S4C_100,2014,0.18065986
BLEND_S2_00_S4C_100,2015,0.08981573
BLEND_S2_00_S4C_100,2016,0.12698394
BLEND_S2_00_S4C_100,2017,0.13009266
BLEND_S2_00_S4C_100,2018,-0.05651054
BLEND_S2_00_S4C_100,2019,0.21359259
BLEND_S2_00_S4C_100,2020,0.21094401
BLEND_S2_00_S4C_100,2021,0.06566066
BLEND_S2_00_S4C_100,2022,-0.08073119
BLEND_S2_00_S4C_100,2023,0.11038570
BLEND_S2_00_S4C_100,2024,0.26825657
BLEND_S2_00_S4C_100,2025,0.31008595
BLEND_S2_00_S4C_100,2026,0.10389949
S30_REFERENCE,2014,0.21300371
S30_REFERENCE,2015,0.03802433
S30_REFERENCE,2016,0.08965504
S30_REFERENCE,2017,0.06745274
S30_REFERENCE,2018,-0.04112187
S30_REFERENCE,2019,0.23891798
S30_REFERENCE,2020,0.13187342
S30_REFERENCE,2021,0.05236935
S30_REFERENCE,2022,-0.05468887
S30_REFERENCE,2023,0.09484929
S30_REFERENCE,2024,0.21472826
S30_REFERENCE,2025,0.22754532
S30_REFERENCE,2026,0.03248367
