series,check,gate,metric,observed,reference,absolute_difference,tolerance,passed
S2_R1_committed_anchor,frozen_schedule_sha256,identity,,1.00000000,1.00000000,,,True
S2_R1_committed_anchor,execution_row_count,identity,,103.00000000,103.00000000,0.00000000,,True
S2_R1_committed_anchor,ordered_unique_execution_dates,identity,,,,,,True
S2_R1_committed_anchor,row_sum_serialization_tolerance,identity,,0.00000002,0.00000000,0.00000002,0.00000010,True
S2_R1_committed_anchor,pit_legal_execution_targets,identity,,,,,,True
S2_R1_committed_anchor,replay_input_equals_frozen_schedule,identity,,,,0.00000000,0.00000000,True
S4C_R1_committed_anchor,frozen_schedule_sha256,identity,,1.00000000,1.00000000,,,True
S4C_R1_committed_anchor,execution_row_count,identity,,161.00000000,161.00000000,0.00000000,,True
S4C_R1_committed_anchor,ordered_unique_execution_dates,identity,,,,,,True
S4C_R1_committed_anchor,row_sum_serialization_tolerance,identity,,0.00000000,0.00000000,0.00000000,0.00000010,True
S4C_R1_committed_anchor,pit_legal_execution_targets,identity,,,,,,True
S4C_R1_committed_anchor,replay_input_equals_frozen_schedule,identity,,,,0.00000000,0.00000000,True
S4C_R1_committed_anchor,committed_metric_portability,preregistered_portability,cagr,0.11637516,0.11637535,0.00000019,0.00010000,True
S4C_R1_committed_anchor,committed_metric_portability,preregistered_portability,max_drawdown,-0.18351236,-0.18351196,0.00000040,0.00010000,True
S4C_R1_committed_anchor,committed_metric_portability,preregistered_portability,sharpe,1.09111908,1.09112091,0.00000183,0.00010911,True
S4C_R1_committed_anchor,committed_metric_portability,preregistered_portability,calmar,0.63415431,0.63415675,0.00000244,0.00010000,True
S4C_R1_committed_anchor,committed_metric_portability,preregistered_portability,turnover,11.79037727,11.79026466,0.00011262,0.00117903,True
S2_R1_committed_anchor,committed_metric_descriptive,descriptive_only,cagr,0.06555207,0.06555207,0.00000000,,True
S2_R1_committed_anchor,committed_metric_descriptive,descriptive_only,max_drawdown,-0.26181326,-0.26181326,0.00000000,,True
S2_R1_committed_anchor,committed_metric_descriptive,descriptive_only,sharpe,0.64698937,0.64698936,0.00000001,,True
S2_R1_committed_anchor,committed_metric_descriptive,descriptive_only,calmar,0.25037719,0.25037719,0.00000000,,True
S2_R1_committed_anchor,committed_metric_descriptive,descriptive_only,turnover,25.33520995,25.33520960,0.00000035,,True
