series,period,start,end,cagr,max_drawdown,sharpe,calmar
S2_R1_committed_anchor,2013-2016,2013-04-01,2016-12-30,0.03275907,-0.26181326,0.31646418,0.12512379
S2_R1_committed_anchor,2017-2019,2017-01-03,2019-12-31,0.07069737,-0.08265684,0.97611729,0.85531177
S2_R1_committed_anchor,2020-2022,2020-01-02,2022-12-30,0.03630602,-0.13691659,0.41993937,0.26516893
S2_R1_committed_anchor,2023-2026,2023-01-03,2026-08-31,0.12354978,-0.13406587,1.06918053,0.92156029
S4C_R1_committed_anchor,2013-2016,2013-04-01,2016-12-30,0.09409033,-0.13027585,1.03991913,0.72223923
S4C_R1_committed_anchor,2017-2019,2017-01-03,2019-12-31,0.09151201,-0.10079763,1.27005386,0.90787858
S4C_R1_committed_anchor,2020-2022,2020-01-02,2022-12-30,0.05642905,-0.18351236,0.50514634,0.30749452
S4C_R1_committed_anchor,2023-2026,2023-01-03,2026-08-31,0.21420521,-0.13190751,1.59268308,1.62390461
BLEND_S2_100_S4C_00,2013-2016,2013-04-01,2016-12-30,0.03663578,-0.26181326,0.35707555,0.13993094
BLEND_S2_100_S4C_00,2017-2019,2017-01-03,2019-12-31,0.07043100,-0.08194712,0.97419041,0.85946882
BLEND_S2_100_S4C_00,2020-2022,2020-01-02,2022-12-30,0.03880761,-0.13490286,0.44830856,0.28767076
BLEND_S2_100_S4C_00,2023-2026,2023-01-03,2026-08-31,0.12282222,-0.13106183,1.07162430,0.93713187
BLEND_S2_75_S4C_25,2013-2016,2013-04-01,2016-12-30,0.05224273,-0.20560953,0.52636157,0.25408709
BLEND_S2_75_S4C_25,2017-2019,2017-01-03,2019-12-31,0.07603215,-0.08350367,1.08732919,0.91052470
BLEND_S2_75_S4C_25,2020-2022,2020-01-02,2022-12-30,0.04391052,-0.14701947,0.48778008,0.29867144
BLEND_S2_75_S4C_25,2023-2026,2023-01-03,2026-08-31,0.14588859,-0.13125340,1.23691105,1.11150327
BLEND_S2_50_S4C_50,2013-2016,2013-04-01,2016-12-30,0.06697799,-0.15060050,0.71545193,0.44473949
BLEND_S2_50_S4C_50,2017-2019,2017-01-03,2019-12-31,0.08139156,-0.08508850,1.17929722,0.95655181
BLEND_S2_50_S4C_50,2020-2022,2020-01-02,2022-12-30,0.04854907,-0.15916464,0.50757612,0.30502421
BLEND_S2_50_S4C_50,2023-2026,2023-01-03,2026-08-31,0.16879862,-0.13146589,1.37952164,1.28397282
BLEND_S2_25_S4C_75,2013-2016,2013-04-01,2016-12-30,0.08102461,-0.13783985,0.90057154,0.58781705
BLEND_S2_25_S4C_75,2017-2019,2017-01-03,2019-12-31,0.08662369,-0.09066660,1.24224106,0.95540899
BLEND_S2_25_S4C_75,2020-2022,2020-01-02,2022-12-30,0.05279551,-0.17128153,0.51218586,0.30823818
BLEND_S2_25_S4C_75,2023-2026,2023-01-03,2026-08-31,0.19164371,-0.13168307,1.49837905,1.45534053
BLEND_S2_00_S4C_100,2013-2016,2013-04-01,2016-12-30,0.09409033,-0.13027585,1.03991913,0.72223923
BLEND_S2_00_S4C_100,2017-2019,2017-01-03,2019-12-31,0.09151201,-0.10079763,1.27005386,0.90787858
BLEND_S2_00_S4C_100,2020-2022,2020-01-02,2022-12-30,0.05642905,-0.18351236,0.50514634,0.30749452
BLEND_S2_00_S4C_100,2023-2026,2023-01-03,2026-08-31,0.21420521,-0.13190751,1.59268308,1.62390461
