series,years,window_count,cagr_min,cagr_median,sharpe_median,positive_cagr_share
S2_R1_committed_anchor,3,123,0.00801963,0.06827406,0.76164237,1.00000000
S2_R1_committed_anchor,5,99,0.02487969,0.07136497,0.76689277,1.00000000
S4C_R1_committed_anchor,3,123,0.02299322,0.09291697,1.06055758,1.00000000
S4C_R1_committed_anchor,5,99,0.05172398,0.09969081,1.02673201,1.00000000
BLEND_S2_100_S4C_00,3,123,0.01703808,0.06833175,0.77727691,1.00000000
BLEND_S2_100_S4C_00,5,99,0.02976597,0.07268833,0.80478989,1.00000000
BLEND_S2_75_S4C_25,3,123,0.02701652,0.07782441,0.89048384,1.00000000
BLEND_S2_75_S4C_25,5,99,0.04047889,0.08274296,0.89925290,1.00000000
BLEND_S2_50_S4C_50,3,123,0.03186839,0.08355366,0.98732769,1.00000000
BLEND_S2_50_S4C_50,5,99,0.05040319,0.08985028,0.97508433,1.00000000
BLEND_S2_25_S4C_75,3,123,0.02832721,0.08997477,1.02841233,1.00000000
BLEND_S2_25_S4C_75,5,99,0.05131853,0.09571720,1.01834395,1.00000000
BLEND_S2_00_S4C_100,3,123,0.02299322,0.09291697,1.06055758,1.00000000
BLEND_S2_00_S4C_100,5,99,0.05172398,0.09969081,1.02673201,1.00000000
