years,cagr_positive_share,sharpe_improves_share,max_drawdown_improves_share,either_improves_share,series
3,1.0,0.7154471544715447,0.8292682926829268,0.8617886178861789,S10A_10_10
5,1.0,0.8181818181818182,1.0,1.0,S10A_10_10
3,1.0,0.7804878048780488,0.8455284552845529,0.8780487804878049,S10A_20_10
5,1.0,0.9292929292929293,1.0,1.0,S10A_20_10
3,1.0,0.4715447154471545,0.8130081300813008,0.8373983739837398,S10A_40_10
5,1.0,0.35353535353535354,0.8484848484848485,0.8484848484848485,S10A_40_10
3,1.0,0.7235772357723578,0.8455284552845529,0.8455284552845529,S10A_20_8
5,1.0,0.9393939393939394,1.0,1.0,S10A_20_8
3,1.0,0.43089430894308944,0.8455284552845529,0.8617886178861789,S10A_20_12
5,1.0,0.3333333333333333,1.0,1.0,S10A_20_12
