rebalance_date,vectorbt_targets,rqalpha_targets,target_match,rqalpha_end_of_day_positions,rqalpha_trades
2013-07-01,511010.SS:1.00,511010.SS:1.00,True,511010.SS,511010.SS:BUY
2013-08-01,511010.SS:1.00,511010.SS:1.00,True,511010.SS,
2013-09-02,510300.SS:1.00,510300.SS:1.00,True,,511010.SS:SELL
2013-10-08,510300.SS:1.00,510300.SS:1.00,True,,
2013-11-01,510300.SS:1.00,510300.SS:1.00,True,,
2013-12-02,510300.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;510300.SS:0.50,True,159920.SZ,159920.SZ:BUY
2014-01-02,510300.SS:0.50;159920.SZ:0.50,510300.SS:0.50;159920.SZ:0.50,True,159920.SZ;510300.SS,510300.SS:BUY;159920.SZ:BUY
2014-02-07,511010.SS:1.00,511010.SS:1.00,True,159920.SZ;511010.SS,510300.SS:SELL;159920.SZ:SELL;511010.SS:BUY
2014-03-03,511010.SS:1.00,511010.SS:1.00,True,159920.SZ;511010.SS,159920.SZ:SELL;511010.SS:BUY
2014-04-01,511010.SS:1.00,159920.SZ:1.00,False,159920.SZ,511010.SS:SELL;159920.SZ:BUY
2014-05-05,510500.SS:0.50;159920.SZ:0.50,510500.SS:0.50;159920.SZ:0.50,True,159920.SZ;510500.SS,510500.SS:BUY;159920.SZ:BUY
2014-06-03,510500.SS:0.50;513100.SS:0.50,513100.SS:0.50;159920.SZ:0.50,False,159920.SZ;513100.SS,510500.SS:SELL;513100.SS:BUY;159920.SZ:BUY
2014-07-01,513100.SS:0.50;159920.SZ:0.50,513100.SS:0.50;159920.SZ:0.50,True,159920.SZ;513100.SS,513100.SS:BUY;159920.SZ:BUY
2014-08-01,510500.SS:0.50;513100.SS:0.50,513100.SS:0.50;510500.SS:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL;513100.SS:BUY
2014-09-01,510500.SS:0.50;513100.SS:0.50,513100.SS:0.50;510500.SS:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL;513100.SS:SELL
2014-10-08,510500.SS:0.50;513100.SS:0.50,510500.SS:0.50;513100.SS:0.50,True,510500.SS;513100.SS,159920.SZ:SELL;510500.SS:BUY;513100.SS:BUY
2014-11-03,510500.SS:0.50;513100.SS:0.50,510500.SS:0.50;513100.SS:0.50,True,510500.SS;513100.SS,510500.SS:BUY;513100.SS:SELL
2014-12-01,510500.SS:0.50;513100.SS:0.50,510500.SS:0.50;513100.SS:0.50,True,510500.SS;513100.SS,510500.SS:BUY;513100.SS:BUY
2015-01-05,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510500.SS,513100.SS:SELL;510500.SS:SELL
2015-02-02,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510500.SS,510500.SS:SELL
2015-03-02,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510500.SS,510500.SS:SELL
2015-04-01,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510300.SS;510500.SS,510300.SS:BUY;510500.SS:SELL
2015-05-04,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510300.SS;510500.SS,510300.SS:BUY
2015-06-01,510300.SS:0.50;510500.SS:0.50,510500.SS:0.50;510300.SS:0.50,True,510300.SS;510500.SS,510500.SS:SELL;510300.SS:BUY
2015-07-01,510300.SS:0.50;510500.SS:0.50,510500.SS:0.50;510300.SS:0.50,True,510300.SS;510500.SS,510300.SS:SELL
2015-08-03,510300.SS:0.50;510500.SS:0.50,510500.SS:0.50;510300.SS:0.50,True,510300.SS;510500.SS,510500.SS:BUY;510300.SS:SELL
2015-09-01,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510300.SS;510500.SS,510300.SS:SELL;510500.SS:BUY
2015-10-08,510300.SS:0.50;510500.SS:0.50,510300.SS:0.50;510500.SS:0.50,True,510300.SS;510500.SS,510300.SS:BUY;510500.SS:SELL
2015-11-02,510300.SS:0.50;510500.SS:0.50,510500.SS:0.50;510300.SS:0.50,True,510300.SS;510500.SS,510500.SS:SELL;510300.SS:BUY
2015-12-01,510300.SS:0.50;510500.SS:0.50,510500.SS:0.50;510300.SS:0.50,True,510300.SS;510500.SS,510500.SS:SELL;510300.SS:BUY
2016-01-04,510500.SS:0.50;513100.SS:0.50,510500.SS:0.50;513100.SS:0.50,True,510500.SS,510300.SS:SELL;510500.SS:BUY
2016-02-01,510500.SS:0.50;513100.SS:0.50,513100.SS:0.50;513500.SS:0.50,False,513100.SS;513500.SS,510500.SS:SELL;513100.SS:BUY;513500.SS:BUY
2016-03-01,513500.SS:0.50;513100.SS:0.50,518880.SS:0.50;513100.SS:0.50,False,513100.SS;518880.SS,513500.SS:SELL;518880.SS:BUY;513100.SS:BUY
2016-04-01,513100.SS:0.50;518880.SS:0.50,518880.SS:0.50;513100.SS:0.50,True,513100.SS;518880.SS,518880.SS:BUY;513100.SS:SELL
2016-05-03,513500.SS:0.50;518880.SS:0.50,518880.SS:0.50;513500.SS:0.50,True,513500.SS;518880.SS,513100.SS:SELL;518880.SS:BUY;513500.SS:BUY
2016-06-01,513500.SS:0.50;513100.SS:0.50,513500.SS:0.50;513100.SS:0.50,True,513100.SS;513500.SS,518880.SS:SELL;513500.SS:BUY;513100.SS:BUY
2016-07-01,513500.SS:0.50;518880.SS:0.50,518880.SS:0.50;513500.SS:0.50,True,513500.SS;518880.SS,513100.SS:SELL;518880.SS:BUY;513500.SS:BUY
2016-08-01,513500.SS:0.50;518880.SS:0.50,518880.SS:0.50;513500.SS:0.50,True,513500.SS;518880.SS,518880.SS:BUY
2016-09-01,513500.SS:0.50;518880.SS:0.50,518880.SS:0.50;513500.SS:0.50,True,513500.SS;518880.SS,518880.SS:BUY;513500.SS:BUY
2016-10-10,513500.SS:0.50;518880.SS:0.50,513500.SS:0.50;518880.SS:0.50,True,513500.SS;518880.SS,513500.SS:BUY;518880.SS:BUY
2016-11-01,513500.SS:0.50;518880.SS:0.50,513500.SS:0.50;513100.SS:0.50,False,513100.SS;513500.SS,518880.SS:SELL;513500.SS:SELL;513100.SS:BUY
2016-12-01,513500.SS:0.50;518880.SS:0.50,513500.SS:0.50;518880.SS:0.50,True,513500.SS,513100.SS:SELL;513500.SS:SELL
2017-01-03,513500.SS:0.50;518880.SS:0.50,513500.SS:0.50;518880.SS:0.50,True,513500.SS,513500.SS:BUY
2017-02-03,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ;513100.SS,513500.SS:SELL;159920.SZ:BUY;513100.SS:BUY
2017-03-01,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ;513100.SS,513100.SS:SELL
2017-04-05,513500.SS:0.50;513100.SS:0.50,513100.SS:0.50;159920.SZ:0.50,False,159920.SZ;513100.SS,159920.SZ:BUY
2017-05-02,513500.SS:0.50;513100.SS:0.50,513100.SS:0.50;159920.SZ:0.50,False,159920.SZ;513100.SS,513100.SS:SELL;159920.SZ:BUY
2017-06-01,513100.SS:0.50;159920.SZ:0.50,513100.SS:0.50;159920.SZ:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL
2017-07-03,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL;513100.SS:BUY
2017-08-01,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL;513100.SS:BUY
2017-09-01,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ;513100.SS,159920.SZ:SELL;513100.SS:BUY
2017-10-09,513100.SS:0.50;513030.SS:0.50,513030.SS:0.50;513100.SS:0.50,True,513030.SS;513100.SS,159920.SZ:SELL;513030.SS:BUY;513100.SS:BUY
2017-11-01,513100.SS:0.50;513030.SS:0.50,513100.SS:0.50;513030.SS:0.50,True,513030.SS;513100.SS,513100.SS:SELL;513030.SS:BUY
2017-12-01,159920.SZ:0.50;513030.SS:0.50,513030.SS:0.50;513100.SS:0.50,False,513030.SS;513100.SS,513100.SS:SELL
2018-01-02,510300.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;510300.SS:0.50,True,159920.SZ;510300.SS;513030.SS,513100.SS:SELL;513030.SS:SELL;159920.SZ:BUY;510300.SS:BUY
2018-02-01,510300.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;510300.SS:0.50,True,159920.SZ;510300.SS;513030.SS,513030.SS:SELL;159920.SZ:SELL
2018-03-01,510300.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,False,159920.SZ,510300.SS:SELL;513030.SS:SELL;159920.SZ:BUY
2018-04-02,510300.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;510300.SS:0.50,True,159920.SZ,159920.SZ:BUY
2018-05-02,513100.SS:0.50;159920.SZ:0.50,159920.SZ:0.50;513100.SS:0.50,True,159920.SZ,159920.SZ:SELL
2018-06-01,513100.SS:0.50;159920.SZ:0.50,513100.SS:0.50;159920.SZ:0.50,True,159920.SZ,159920.SZ:SELL
