symbol,asset_class,strategy_role,listing_date,first_market_observation,first_usable_signal_date,last_market_observation,observation_count,historical_availability
510300.SS,equity,risk,2012-05-28,2012-05-28,2013-06-14,2026-08-31,3467,2012-05-28..2026-08-31
510500.SS,equity,risk,2013-03-15,2013-03-15,2014-04-02,2026-08-31,3270,2013-03-15..2026-08-31
513500.SS,equity,risk,2014-01-15,2014-01-15,2015-01-27,2026-08-31,3069,2014-01-15..2026-08-31
513100.SS,equity,risk,2013-05-15,2013-05-15,2014-05-29,2026-08-31,3233,2013-05-15..2026-08-31
159920.SZ,equity,risk,2012-10-22,2012-10-22,2013-11-11,2026-08-31,3368,2012-10-22..2026-08-31
513520.SS,equity,risk,2019-06-25,2019-06-25,2020-07-08,2026-08-31,1745,2019-06-25..2026-08-31
513030.SS,equity,risk,2014-09-05,2014-09-05,2015-09-18,2026-08-31,2911,2014-09-05..2026-08-31
518880.SS,gold,risk,2013-07-29,2013-07-29,2014-08-08,2026-08-31,3184,2013-07-29..2026-08-31
159980.SZ,commodity,risk,2019-12-24,2019-12-24,2021-01-07,2026-08-31,1621,2019-12-24..2026-08-31
511010.SS,bond,fallback,2013-03-25,2013-03-25,2014-04-11,2026-08-31,3266,2013-03-25..2026-08-31
511260.SS,bond,unused,2017-08-24,2017-08-24,2018-09-04,2026-08-31,2188,2017-08-24..2026-08-31
511880.SS,cash,unused,2013-04-18,2013-04-18,2014-05-07,2026-08-31,3250,2013-04-18..2026-08-31
