trend_window,period,start,end,cagr,max_drawdown,sharpe,calmar
160,2013-2016,2013-03-29,2016-12-30,0.07102039,-0.21483722,0.66287195,0.33057771
160,2017-2019,2017-01-03,2019-12-31,0.07935997,-0.08493565,1.10598183,0.93435408
160,2020-2022,2020-01-02,2022-12-30,0.03309439,-0.12561892,0.40499676,0.26345065
160,2023-2026,2023-01-03,2026-08-31,0.11720571,-0.12307166,1.05237542,0.95233718
180,2013-2016,2013-03-29,2016-12-30,0.04560337,-0.23935697,0.43749236,0.19052451
180,2017-2019,2017-01-03,2019-12-31,0.06858595,-0.08265740,0.94627025,0.82976183
180,2020-2022,2020-01-02,2022-12-30,0.03785573,-0.13691659,0.43883883,0.27648753
180,2023-2026,2023-01-03,2026-08-31,0.12729751,-0.13406587,1.10742459,0.94951466
200,2013-2016,2013-03-29,2016-12-30,0.03227415,-0.26181326,0.31319598,0.12327166
200,2017-2019,2017-01-03,2019-12-31,0.07069737,-0.08265684,0.97611728,0.85531177
200,2020-2022,2020-01-02,2022-12-30,0.03630602,-0.13691659,0.41993937,0.26516892
200,2023-2026,2023-01-03,2026-08-31,0.12354978,-0.13406587,1.06918053,0.92156029
220,2013-2016,2013-03-29,2016-12-30,0.03536173,-0.26136805,0.33850013,0.13529477
220,2017-2019,2017-01-03,2019-12-31,0.07214130,-0.08265684,0.98074660,0.87278071
220,2020-2022,2020-01-02,2022-12-30,0.04151801,-0.13691660,0.46991405,0.30323575
220,2023-2026,2023-01-03,2026-08-31,0.12705354,-0.13406587,1.09864179,0.94769494
240,2013-2016,2013-03-29,2016-12-30,0.01818153,-0.25743175,0.20647704,0.07062660
240,2017-2019,2017-01-03,2019-12-31,0.07134635,-0.08265684,0.95247863,0.86316326
240,2020-2022,2020-01-02,2022-12-30,0.03988630,-0.13691660,0.45201177,0.29131824
240,2023-2026,2023-01-03,2026-08-31,0.12293963,-0.13406587,1.06512646,0.91700918
