date,symbol,intended_weight,realized_weight,native_status,native_evidence
2013-04-01,510300.SS,1.00000000,0.00000000,REJECTED,"Order Cancelled: not enough money to buy 510300.XSHG, needs 1000409.77, cash 1000000.00"
2013-10-08,159920.SZ,0.50000000,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159920.XSHE, needs 488716.53, cash 488629.38"
2013-11-01,159920.SZ,0.50000000,0.24418599,CANCELLED,"Order Cancelled: market order 159920.XSHE volume 459500 is larger than 25.0 percent of current bar volume, fill 224400 actually"
2013-12-02,159920.SZ,0.50000000,0.25168212,REJECTED,"Order Creation Failed: not enough money to buy 159920.XSHE, needs 238243.01, cash 238060.93"
2014-01-02,159920.SZ,0.50000000,0.28323619,CANCELLED,"Order Cancelled: market order 159920.XSHE volume 224700 is larger than 25.0 percent of current bar volume, fill 30000 actually"
2014-02-07,511010.SS,0.66666667,0.61595230,FILLED,sys_analyser 成交数量 1000/1000
2014-03-03,159920.SZ,0.33333333,0.05046920,REJECTED,"Order Creation Failed: not enough money to buy 159920.XSHE, needs 259034.38, cash 258674.10"
2014-04-01,159920.SZ,0.25000000,0.14053757,CANCELLED,"Order Cancelled: market order 159920.XSHE volume 178700 is larger than 25.0 percent of current bar volume, fill 80300 actually"
2014-07-01,518880.SS,0.20000000,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 518880.XSHG, needs 186957.17, cash 186514.19"
2014-08-01,518880.SS,0.20000000,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 518880.XSHG, needs 193473.28, cash 193194.37"
2014-12-01,513500.SS,0.16666667,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513500.XSHG, needs 176881.91, cash 176659.71"
2015-02-02,518880.SS,0.16666667,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 518880.XSHG, needs 185601.62, cash 185303.92"
2015-10-08,511010.SS,1.00000000,0.70357240,REJECTED,"Order Creation Failed: not enough money to buy 511010.XSHG, needs 347800.25, cash 347671.65"
2016-02-01,513500.SS,0.00000000,0.05632533,CANCELLED,"Order Cancelled: market order 513500.XSHG volume 140200 is larger than 25.0 percent of current bar volume, fill 83400 actually"
2016-02-01,511010.SS,0.85714286,0.79376863,FILLED,sys_analyser 成交数量 800/800
2016-03-01,513500.SS,0.14285714,0.05604198,REJECTED,"Order Creation Failed: not enough money to buy 513500.XSHG, needs 99199.90, cash 99151.67"
2016-05-03,513030.SS,0.14285714,0.06507712,CANCELLED,"Order Cancelled: market order 513030.XSHG volume 192100 is larger than 25.0 percent of current bar volume, fill 87500 actually"
2017-03-01,518880.SS,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 518880.XSHG, needs 191663.97, cash 191607.62"
2018-03-01,513030.SS,0.00000000,0.05016036,CANCELLED,"Order Cancelled: market order 513030.XSHG volume 177200 is larger than 25.0 percent of current bar volume, fill 110700 actually"
2018-03-01,511010.SS,0.42857143,0.37364571,FILLED,sys_analyser 成交数量 1100/1100
2018-06-01,513500.SS,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513500.XSHG, needs 201075.88, cash 200926.47"
2018-08-01,513030.SS,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513030.XSHG, needs 212272.06, cash 211751.39"
2018-11-01,518880.SS,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 518880.XSHG, needs 207414.21, cash 207238.86"
2019-02-01,159920.SZ,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159920.XSHE, needs 203295.89, cash 203085.97"
2019-05-06,513030.SS,0.14285714,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513030.XSHG, needs 208243.03, cash 208080.64"
2020-05-06,510500.SS,0.12500000,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 510500.XSHG, needs 194205.31, cash 193731.19"
2020-07-01,513030.SS,0.12500000,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513030.XSHG, needs 195618.22, cash 195443.51"
2022-11-01,513500.SS,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513500.XSHG, needs 196296.10, cash 196087.67"
2022-12-01,159980.SZ,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159980.XSHE, needs 197466.87, cash 196564.13"
2023-02-01,513520.SS,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513520.XSHG, needs 200009.81, cash 199406.12"
2023-08-01,159980.SZ,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159980.XSHE, needs 212506.79, cash 212216.63"
2024-05-06,159920.SZ,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159920.XSHE, needs 223139.22, cash 222604.40"
2025-01-02,513520.SS,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 513520.XSHG, needs 233360.73, cash 233136.43"
2025-03-03,511010.SS,0.22222222,0.10784447,REJECTED,"Order Creation Failed: not enough money to buy 511010.XSHG, needs 253333.08, cash 253158.82"
2025-07-01,159980.SZ,0.11111111,0.00000000,REJECTED,"Order Creation Failed: not enough money to buy 159980.XSHE, needs 254150.20, cash 253879.94"
