date,observation_type,total_absolute_weight_deviation,maximum_asset_weight_deviation,cash_residual,materially_off_target,intended_positions,actual_positions
2013-04-01,execution,2.00000000,1.00000000,1.00000000,True,510300.SS:1.0000,
2013-04-26,monthly_review,2.00000000,1.00000000,1.00000000,True,510300.SS:1.0000,
2013-05-31,monthly_review,2.00000000,1.00000000,1.00000000,True,510300.SS:1.0000,
2013-06-28,monthly_review,2.00000000,1.00000000,1.00000000,True,510300.SS:1.0000,
2013-07-01,execution,0.01385704,0.00692852,0.00692852,False,511010.SS:1.0000,511010.SS:0.9931
2013-07-31,monthly_review,0.01396490,0.00698245,0.00698245,False,511010.SS:1.0000,511010.SS:0.9930
2013-08-30,monthly_review,0.01414081,0.00707041,0.00707041,False,511010.SS:1.0000,511010.SS:0.9929
2013-09-30,monthly_review,0.01414067,0.00707034,0.00707034,False,511010.SS:1.0000,511010.SS:0.9929
2013-10-08,execution,1.00050082,0.50000000,0.50025041,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4997
2013-10-31,monthly_review,1.01489357,0.50000000,0.50744679,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4926
2013-11-01,execution,0.51627529,0.25581401,0.25813764,True,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.2442;511010.SS:0.4977
2013-11-29,monthly_review,0.51678140,0.25044357,0.25839070,True,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.2496;511010.SS:0.4921
2013-12-02,execution,0.49675149,0.24831788,0.24837575,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4999;159920.SZ:0.2517
2013-12-31,monthly_review,0.51114373,0.25042130,0.25557187,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4948;159920.SZ:0.2496
2014-01-02,execution,0.43914608,0.21676381,0.21957304,True,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.2832;511010.SS:0.4972
2014-01-30,monthly_review,0.45721417,0.22860709,0.22177011,True,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.2714;511010.SS:0.5068
2014-02-07,execution,0.10142873,0.05071436,0.00208096,True,510500.SS:0.3333;511010.SS:0.6667,510500.SS:0.3334;159920.SZ:0.0485;511010.SS:0.6160
2014-02-28,monthly_review,0.10689504,0.05138677,0.00206074,True,510500.SS:0.3333;511010.SS:0.6667,510500.SS:0.3311;159920.SZ:0.0514;511010.SS:0.6154
2014-03-03,execution,0.56591931,0.28286413,0.27878780,True,510500.SS:0.3333;159920.SZ:0.3333;511010.SS:0.3333,510500.SS:0.3332;159920.SZ:0.0505;511010.SS:0.3375
2014-03-31,monthly_review,0.58828088,0.28236715,0.28432608,True,510500.SS:0.3333;159920.SZ:0.3333;511010.SS:0.3333,510500.SS:0.3216;159920.SZ:0.0510;511010.SS:0.3431
2014-04-01,execution,0.22816816,0.10946243,0.11389261,True,510500.SS:0.2500;513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.2500,510500.SS:0.2501;513100.SS:0.2501;159920.SZ:0.1405;511010.SS:0.2454
2014-04-30,monthly_review,0.23201432,0.10793592,0.11512971,True,510500.SS:0.2500;513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.2500,510500.SS:0.2440;513100.SS:0.2479;159920.SZ:0.1421;511010.SS:0.2509
2014-05-05,execution,0.01780171,0.00890086,0.00887577,False,513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.5000,513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.4911
2014-05-30,monthly_review,0.03802098,0.01901049,0.00859979,False,513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.5000,513100.SS:0.2556;159920.SZ:0.2548;511010.SS:0.4810
2014-06-03,execution,0.00415923,0.00207962,0.00192986,False,513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.6000,513100.SS:0.2001;159920.SZ:0.2001;511010.SS:0.5979
2014-06-30,monthly_review,0.01389464,0.00502428,0.00192304,False,513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.6000,513100.SS:0.2050;159920.SZ:0.1979;511010.SS:0.5952
2014-07-01,execution,0.40007367,0.20000000,0.19835948,True,510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000;511010.SS:0.2000,510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2016
2014-07-31,monthly_review,0.41434619,0.20000000,0.19186429,True,510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000;511010.SS:0.2000,510500.SS:0.2087;513100.SS:0.1987;159920.SZ:0.2066;511010.SS:0.1941
2014-08-01,execution,0.40019694,0.20000000,0.19997925,True,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.2001;510500.SS:0.1999;513100.SS:0.2000;159920.SZ:0.2000
2014-08-29,monthly_review,0.41229919,0.20000000,0.19626606,True,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.1975;510500.SS:0.2062;513100.SS:0.2037;159920.SZ:0.1963
2014-09-30,monthly_review,0.43484633,0.20000000,0.19190764,True,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.2019;510500.SS:0.2236;513100.SS:0.1976;159920.SZ:0.1850
2014-10-08,execution,0.01944517,0.00966114,0.00951306,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.2001;510500.SS:0.2000;513100.SS:0.2001;159920.SZ:0.2000;511010.SS:0.1903
2014-10-31,monthly_review,0.02889234,0.00936809,0.00936775,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.1999;510500.SS:0.1965;513100.SS:0.2051;159920.SZ:0.1985;511010.SS:0.1906
2014-11-28,monthly_review,0.05529929,0.01474687,0.00899062,True,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.2141;510500.SS:0.1976;513100.SS:0.2046;159920.SZ:0.1895;511010.SS:0.1853
2014-12-01,execution,0.33333333,0.16666667,0.16626721,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1667;510500.SS:0.1668;513100.SS:0.1667;159920.SZ:0.1668;511010.SS:0.1668
2014-12-31,monthly_review,0.38422031,0.16666667,0.15900802,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1998;510500.SS:0.1624;513100.SS:0.1587;159920.SZ:0.1618;511010.SS:0.1582
2015-01-30,monthly_review,0.37229320,0.16666667,0.15911935,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1890;510500.SS:0.1706;513100.SS:0.1546;159920.SZ:0.1674;511010.SS:0.1593
2015-02-02,execution,0.33333333,0.16666667,0.16626808,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;518880.SS:0.1667,510300.SS:0.1668;510500.SS:0.1668;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667
