date,observation_type,total_absolute_weight_deviation,maximum_asset_weight_deviation,cash_residual,materially_off_target,intended_positions,actual_positions
2013-04-01,execution,0.00017542,0.00008771,0.00008771,False,510300.SS:1.0000,510300.SS:0.9999
2013-04-26,monthly_review,0.00017815,0.00008907,0.00008907,False,510300.SS:1.0000,510300.SS:0.9999
2013-05-31,monthly_review,0.00016721,0.00008360,0.00008360,False,510300.SS:1.0000,510300.SS:0.9999
2013-06-28,monthly_review,0.00019550,0.00009775,0.00009775,False,510300.SS:1.0000,510300.SS:0.9999
2013-07-01,execution,0.01218864,0.00609432,0.00609432,False,511010.SS:1.0000,511010.SS:0.9939
2013-07-31,monthly_review,0.01228359,0.00614180,0.00614180,False,511010.SS:1.0000,511010.SS:0.9939
2013-08-30,monthly_review,0.01243845,0.00621923,0.00621923,False,511010.SS:1.0000,511010.SS:0.9938
2013-09-30,monthly_review,0.01243833,0.00621916,0.00621916,False,511010.SS:1.0000,511010.SS:0.9938
2013-10-08,execution,0.33964944,0.16982472,0.16966352,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.5002;159920.SZ:0.3302
2013-10-31,monthly_review,0.34410202,0.16485750,0.17205101,True,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4928;159920.SZ:0.3351
2013-11-01,execution,0.00614536,0.00307268,0.00285664,False,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.5002;511010.SS:0.4969
2013-11-29,monthly_review,0.02264255,0.01132128,0.00284411,False,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.5085;511010.SS:0.4887
2013-12-02,execution,0.00080925,0.00040462,0.00024164,False,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4996;159920.SZ:0.5002
2013-12-31,monthly_review,0.00174145,0.00087072,0.00025096,False,510300.SS:0.5000;159920.SZ:0.5000,510300.SS:0.4991;159920.SZ:0.5006
2014-01-02,execution,0.00608391,0.00304195,0.00292122,False,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.5001;511010.SS:0.4970
2014-01-30,monthly_review,0.03068652,0.01534326,0.00298399,False,159920.SZ:0.5000;511010.SS:0.5000,159920.SZ:0.4847;511010.SS:0.5124
2014-02-07,execution,0.46386783,0.23189711,0.00003681,True,510500.SS:0.3333;511010.SS:0.6667,510500.SS:0.2511;159920.SZ:0.2319;511010.SS:0.5170
2014-02-28,monthly_review,0.48568816,0.24280805,0.00003603,True,510500.SS:0.3333;511010.SS:0.6667,510500.SS:0.2465;159920.SZ:0.2428;511010.SS:0.5107
2014-03-03,execution,0.00283397,0.00141698,0.00128163,False,510500.SS:0.3333;159920.SZ:0.3333;511010.SS:0.3333,510500.SS:0.3334;159920.SZ:0.3334;511010.SS:0.3319
2014-03-31,monthly_review,0.02148137,0.01074068,0.00131079,False,510500.SS:0.3333;159920.SZ:0.3333;511010.SS:0.3333,510500.SS:0.3226;159920.SZ:0.3377;511010.SS:0.3384
2014-04-01,execution,0.00430543,0.00215272,0.00013808,False,510500.SS:0.2500;513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.2500,510500.SS:0.2501;513100.SS:0.2478;159920.SZ:0.2501;511010.SS:0.2519
2014-04-30,monthly_review,0.02073976,0.00748222,0.00013956,False,510500.SS:0.2500;513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.2500,510500.SS:0.2440;513100.SS:0.2457;159920.SZ:0.2527;511010.SS:0.2575
2014-05-05,execution,0.01760656,0.00880328,0.00867653,False,513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.5000,513100.SS:0.2501;159920.SZ:0.2501;511010.SS:0.4912
2014-05-30,monthly_review,0.03783596,0.01891798,0.00840669,False,513100.SS:0.2500;159920.SZ:0.2500;511010.SS:0.5000,513100.SS:0.2557;159920.SZ:0.2548;511010.SS:0.4811
2014-06-03,execution,0.02263448,0.01131724,0.01123582,False,513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.6000,513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.5887
2014-06-30,monthly_review,0.03234110,0.01401365,0.01119600,False,513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.6000,513100.SS:0.2050;159920.SZ:0.1978;511010.SS:0.5860
2014-07-01,execution,0.00656086,0.00328043,0.00000252,False,510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000;511010.SS:0.2000,510500.SS:0.2000;513100.SS:0.2001;159920.SZ:0.2001;518880.SS:0.1967;511010.SS:0.2031
2014-07-31,monthly_review,0.03453216,0.01330113,0.00000244,False,510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000;511010.SS:0.2000,510500.SS:0.2096;513100.SS:0.1997;159920.SZ:0.2077;518880.SS:0.1867;511010.SS:0.1963
2014-08-01,execution,0.00056426,0.00023492,0.00003056,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.2001;510500.SS:0.2001;513100.SS:0.2000;159920.SZ:0.2001;518880.SS:0.1998
2014-08-29,monthly_review,0.02045454,0.00639339,0.00003001,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.1977;510500.SS:0.2064;513100.SS:0.2038;159920.SZ:0.1964;518880.SS:0.1957
2014-09-30,monthly_review,0.05986234,0.02596563,0.00002962,True,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;518880.SS:0.2000,510300.SS:0.2039;510500.SS:0.2260;513100.SS:0.1995;159920.SZ:0.1869;518880.SS:0.1837
2014-10-08,execution,0.01050907,0.00511434,0.00522222,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.1999;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.1949
2014-10-31,monthly_review,0.02034396,0.00502990,0.00514208,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.1997;510500.SS:0.1965;513100.SS:0.2050;159920.SZ:0.1985;511010.SS:0.1952
2014-11-28,monthly_review,0.04652788,0.01381593,0.00493494,False,510300.SS:0.2000;510500.SS:0.2000;513100.SS:0.2000;159920.SZ:0.2000;511010.SS:0.2000,510300.SS:0.2138;510500.SS:0.1976;513100.SS:0.2045;159920.SZ:0.1895;511010.SS:0.1897
2014-12-01,execution,0.00434615,0.00217307,0.00004865,False,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1669;510500.SS:0.1668;513500.SS:0.1645;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1684
2014-12-31,monthly_review,0.06570651,0.03280683,0.00004642,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1995;510500.SS:0.1621;513500.SS:0.1592;513100.SS:0.1584;159920.SZ:0.1614;511010.SS:0.1594
2015-01-30,monthly_review,0.05948457,0.02272876,0.00198374,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1894;510500.SS:0.1708;513500.SS:0.1545;513100.SS:0.1547;159920.SZ:0.1676;511010.SS:0.1611
2015-02-02,execution,0.00045792,0.00022896,0.00002280,False,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;518880.SS:0.1667,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;518880.SS:0.1664
2015-02-27,monthly_review,0.03371931,0.01392410,0.00002195,False,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;518880.SS:0.1667,510300.SS:0.1708;510500.SS:0.1724;513500.SS:0.1689;513100.SS:0.1714;159920.SZ:0.1637;518880.SS:0.1527
2015-03-02,execution,0.01871476,0.00927351,0.00925513,False,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1666;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1574
2015-03-31,monthly_review,0.08304456,0.02097818,0.00881861,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1784;510500.SS:0.1876;513500.SS:0.1564;513100.SS:0.1572;159920.SZ:0.1635;511010.SS:0.1481
2015-04-30,monthly_review,0.13894344,0.03496326,0.00811777,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1931;510500.SS:0.2016;513500.SS:0.1450;513100.SS:0.1468;159920.SZ:0.1663;511010.SS:0.1391
2015-05-29,monthly_review,0.18971889,0.06474027,0.00781562,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1890;510500.SS:0.2314;513500.SS:0.1408;513100.SS:0.1430;159920.SZ:0.1553;511010.SS:0.1328
2015-06-30,monthly_review,0.15464814,0.05123115,0.00820170,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1846;510500.SS:0.2179;513500.SS:0.1441;513100.SS:0.1465;159920.SZ:0.1600;511010.SS:0.1388
2015-07-31,monthly_review,0.07837088,0.02983442,0.00865983,True,510300.SS:0.1667;510500.SS:0.1667;513500.SS:0.1667;513100.SS:0.1667;159920.SZ:0.1667;511010.SS:0.1667,510300.SS:0.1674;510500.SS:0.1965;513500.SS:0.1569;513100.SS:0.1639;159920.SZ:0.1569;511010.SS:0.1497
2015-08-03,execution,0.01084119,0.00510497,0.00531342,False,510300.SS:0.1429;510500.SS:0.1429;513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.4286,510300.SS:0.1430;510500.SS:0.1426;513500.SS:0.1429;513100.SS:0.1428;511010.SS:0.4235
2015-08-31,monthly_review,0.04690086,0.01411600,0.00553554,False,510300.SS:0.1429;510500.SS:0.1429;513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.4286,510300.SS:0.1313;510500.SS:0.1310;513500.SS:0.1465;513100.SS:0.1430;511010.SS:0.4427
2015-09-01,execution,0.01093955,0.00546978,0.00542139,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7088
2015-09-30,monthly_review,0.01095452,0.00266897,0.00547726,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1402;513100.SS:0.1411;511010.SS:0.7132
2015-10-08,execution,0.01005589,0.00502795,0.00502795,False,511010.SS:1.0000,511010.SS:0.9950
2015-10-30,monthly_review,0.02806772,0.01403386,0.01403386,False,511010.SS:1.0000,511010.SS:0.9860
2015-11-02,execution,0.00672910,0.00336455,0.00311926,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1430;513100.SS:0.1430;511010.SS:0.7109
2015-11-30,monthly_review,0.01594370,0.00797185,0.00310641,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1453;513100.SS:0.1452;511010.SS:0.7063
2015-12-31,monthly_review,0.01617428,0.00808714,0.00307008,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1441;513100.SS:0.1466;511010.SS:0.7062
2016-01-29,monthly_review,0.02452417,0.00911610,0.00314598,False,513500.SS:0.1429;513100.SS:0.1429;511010.SS:0.7143,513500.SS:0.1380;513100.SS:0.1355;511010.SS:0.7234
2016-02-01,execution,0.10017627,0.05008814,0.00625891,True,518880.SS:0.1429;511010.SS:0.8571,513500.SS:0.0438;518880.SS:0.1429;511010.SS:0.8071
2016-02-29,monthly_review,0.11925511,0.05962755,0.00615304,True,518880.SS:0.1429;511010.SS:0.8571,513500.SS:0.0438;518880.SS:0.1525;511010.SS:0.7975
2016-03-01,execution,0.00595940,0.00297970,0.00272832,False,513500.SS:0.1429;518880.SS:0.1429;511010.SS:0.7143,513500.SS:0.1430;518880.SS:0.1430;511010.SS:0.7113
2016-03-31,monthly_review,0.01196813,0.00485376,0.00271332,False,513500.SS:0.1429;518880.SS:0.1429;511010.SS:0.7143,513500.SS:0.1461;518880.SS:0.1380;511010.SS:0.7132
2016-04-01,execution,0.00809413,0.00404707,0.00023294,False,513500.SS:0.1429;513100.SS:0.1429;518880.SS:0.1429;511010.SS:0.5714,513500.SS:0.1429;513100.SS:0.1429;518880.SS:0.1388;511010.SS:0.5751
