variant,period,start,end,cagr,max_drawdown,sharpe,calmar,turnover,worst_year
V1,2013-2016,2013-03-29,2016-12-30,0.04416106,-0.26181326,0.44945589,0.16867387,10.01347175,-0.16409499
V1,2017-2019,2017-01-03,2019-12-31,0.07043100,-0.08194713,0.97419041,0.85946882,5.31542864,-0.00138748
V1,2020-2022,2020-01-02,2022-12-30,0.03930118,-0.13490287,0.45340786,0.29132943,4.62815521,-0.04374375
V1,2023-2026,2023-01-03,2026-08-31,0.12525167,-0.13106185,1.10000934,0.95566847,6.33061378,0.02549031
V2A,2013-2016,2013-03-29,2016-12-30,0.03614055,-0.26181326,0.35361540,0.13803943,9.82885923,-0.16409499
V2A,2017-2019,2017-01-03,2019-12-31,0.07043100,-0.08194713,0.97419041,0.85946882,5.31542864,-0.00138748
V2A,2020-2022,2020-01-02,2022-12-30,0.03880761,-0.13490287,0.44830855,0.28767075,4.77487781,-0.04510207
V2A,2023-2026,2023-01-03,2026-08-31,0.12282222,-0.13106183,1.07162430,0.93713187,6.10157838,0.02548705
V2B,2013-2016,2013-03-29,2016-12-30,0.03227415,-0.26181326,0.31319598,0.12327166,9.63628174,-0.16409499
V2B,2017-2019,2017-01-03,2019-12-31,0.07069737,-0.08265684,0.97611728,0.85531177,5.25457219,-0.00207103
V2B,2020-2022,2020-01-02,2022-12-30,0.03630602,-0.13691659,0.41993937,0.26516892,4.62642057,-0.04572257
V2B,2023-2026,2023-01-03,2026-08-31,0.12354978,-0.13406587,1.06918053,0.92156029,5.81793510,0.02644007
