signal_date,eligible_sector_count,positive_sector_count,negative_sector_count,unavailable_sector_count,breadth,regime,target_changed,execution_date
2011-02-28,0,0,0,11,,UNAVAILABLE,True,2011-03-01
2011-03-31,0,0,0,11,,UNAVAILABLE,False,
2011-04-29,0,0,0,11,,UNAVAILABLE,False,
2011-05-31,0,0,0,11,,UNAVAILABLE,False,
2011-06-30,0,0,0,11,,UNAVAILABLE,False,
2011-07-29,0,0,0,11,,UNAVAILABLE,False,
2011-08-31,1,0,1,10,0.0,UNAVAILABLE,False,
2011-09-30,1,0,1,10,0.0,UNAVAILABLE,False,
2011-10-31,1,0,1,10,0.0,UNAVAILABLE,False,
2011-11-30,1,0,1,10,0.0,UNAVAILABLE,False,
2011-12-30,1,0,1,10,0.0,UNAVAILABLE,False,
2012-01-31,1,0,1,10,0.0,UNAVAILABLE,False,
2012-02-29,1,0,1,10,0.0,UNAVAILABLE,False,
2012-03-30,1,0,1,10,0.0,UNAVAILABLE,False,
2012-04-27,1,0,1,10,0.0,UNAVAILABLE,False,
2012-05-31,1,0,1,10,0.0,UNAVAILABLE,False,
2012-06-29,1,1,0,10,1.0,UNAVAILABLE,False,
2012-07-31,1,1,0,10,1.0,UNAVAILABLE,False,
2012-08-31,1,0,1,10,0.0,UNAVAILABLE,False,
2012-09-28,1,1,0,10,1.0,UNAVAILABLE,False,
2012-10-31,1,0,1,10,0.0,UNAVAILABLE,False,
2012-11-30,1,0,1,10,0.0,UNAVAILABLE,False,
2012-12-31,1,0,1,10,0.0,UNAVAILABLE,False,
2013-01-31,1,1,0,10,1.0,UNAVAILABLE,False,
2013-02-28,1,1,0,10,1.0,UNAVAILABLE,False,
2013-03-29,1,1,0,10,1.0,UNAVAILABLE,False,
2013-04-26,1,1,0,10,1.0,UNAVAILABLE,False,
2013-05-31,1,1,0,10,1.0,UNAVAILABLE,False,
2013-06-28,1,1,0,10,1.0,UNAVAILABLE,False,
2013-07-31,1,1,0,10,1.0,UNAVAILABLE,False,
2013-08-30,1,1,0,10,1.0,UNAVAILABLE,False,
2013-09-30,1,1,0,10,1.0,UNAVAILABLE,False,
2013-10-31,1,1,0,10,1.0,UNAVAILABLE,False,
2013-11-29,2,1,1,9,0.5,UNAVAILABLE,False,
2013-12-31,2,2,0,9,1.0,UNAVAILABLE,False,
2014-01-30,2,1,1,9,0.5,UNAVAILABLE,False,
2014-02-28,2,0,2,9,0.0,UNAVAILABLE,False,
2014-03-31,2,0,2,9,0.0,UNAVAILABLE,False,
2014-04-30,2,0,2,9,0.0,UNAVAILABLE,False,
2014-05-30,2,0,2,9,0.0,UNAVAILABLE,False,
2014-06-30,2,0,2,9,0.0,UNAVAILABLE,False,
2014-07-31,2,2,0,9,1.0,UNAVAILABLE,False,
2014-08-29,2,2,0,9,1.0,UNAVAILABLE,False,
2014-09-30,2,2,0,9,1.0,UNAVAILABLE,False,
2014-10-31,2,2,0,9,1.0,UNAVAILABLE,False,
