signal_date,eligible_asset_count,regime,max_target_weight
2012-05-31,0,FALLBACK,0.0
2012-06-29,0,FALLBACK,0.0
2012-07-31,0,FALLBACK,0.0
2012-08-31,1,FALLBACK,0.0
2012-09-28,1,FALLBACK,0.0
2012-10-31,1,FALLBACK,0.0
2012-11-30,1,FALLBACK,0.0
2012-12-31,1,FALLBACK,0.0
2013-01-31,2,FALLBACK,0.0
2013-02-28,2,FALLBACK,0.0
2013-03-29,2,FALLBACK,0.0
2013-04-26,2,FALLBACK,0.0
2013-05-31,2,FALLBACK,0.0
2013-06-28,3,FALLBACK,0.0
2013-07-31,3,FALLBACK,0.0
2013-08-30,4,FALLBACK,0.0
2013-09-30,4,FALLBACK,0.0
2013-10-31,5,FALLBACK,0.0
2013-11-29,5,FALLBACK,0.0
2013-12-31,5,FALLBACK,0.0
2014-01-30,5,FALLBACK,0.0
2014-02-28,5,FALLBACK,0.0
2014-03-31,5,FALLBACK,0.0
2014-04-30,6,RISK,0.22158681406474234
2014-05-30,6,RISK,0.2120197499604621
2014-06-30,6,RISK,0.20624501107708196
2014-07-31,6,RISK,0.23902187925429927
2014-08-29,6,RISK,0.22077402357368386
2014-09-30,6,RISK,0.2175088071535933
2014-10-31,6,RISK,0.24412456275702113
2014-11-28,6,RISK,0.19855203019405993
2014-12-31,7,RISK,0.19453901885076413
2015-01-30,7,RISK,0.20102610239427926
2015-02-27,7,RISK,0.19048159319904256
2015-03-31,7,RISK,0.1868867353425297
2015-04-30,7,RISK,0.21910646652405388
2015-05-29,7,RISK,0.2419935250893159
2015-06-30,7,RISK,0.28021820062747865
2015-07-31,7,RISK,0.276441569870092
2015-08-31,7,RISK,0.2504311429140129
2015-09-30,7,RISK,0.24334605196066322
2015-10-30,7,RISK,0.26114920187970275
2015-11-30,7,RISK,0.24535187812512618
2015-12-31,7,RISK,0.19734591618102362
2016-01-29,7,RISK,0.22667800267612956
2016-02-29,7,RISK,0.20434346467847384
2016-03-31,7,RISK,0.20979385320318691
2016-04-29,7,RISK,0.22232330254163907
2016-05-31,7,RISK,0.20546886506345396
2016-06-30,7,RISK,0.20701919751648482
2016-07-29,7,RISK,0.2179634172146367
2016-08-31,7,RISK,0.22250515568051868
2016-09-30,7,RISK,0.18242848123044253
2016-10-31,7,RISK,0.1632455473008531
2016-11-30,7,RISK,0.1967947624337111
2016-12-30,7,RISK,0.18362128254964089
2017-01-26,7,RISK,0.18838367799282327
2017-02-28,7,RISK,0.2065755249522184
2017-03-31,7,RISK,0.19498335966987412
2017-04-28,7,RISK,0.1909234290910827
2017-05-31,7,RISK,0.20241065587866752
2017-06-30,7,RISK,0.1990236983594067
2017-07-31,7,RISK,0.20406509997754874
2017-08-31,7,RISK,0.24379998020822788
2017-09-29,7,RISK,0.2515519899372308
2017-10-31,7,RISK,0.20517179270662125
2017-11-30,7,RISK,0.20884739609248357
2017-12-29,7,RISK,0.25371256085995336
2018-01-31,7,RISK,0.23358092768138852
2018-02-28,7,RISK,0.27315085339261036
2018-03-30,7,RISK,0.28714190618656965
2018-04-27,7,RISK,0.30681853536658665
2018-05-31,7,RISK,0.29584636169450235
2018-06-29,7,RISK,0.3233250692650643
2018-07-31,7,RISK,0.34904358701134036
2018-08-31,7,RISK,0.3511274404820612
2018-09-28,7,RISK,0.32257705740746867
2018-10-31,7,RISK,0.336964091493443
2018-11-30,7,RISK,0.3573083760572494
2018-12-28,7,RISK,0.37198935112238574
2019-01-31,7,RISK,0.31986343023640157
2019-02-28,7,RISK,0.31744210788250043
2019-03-29,7,RISK,0.25497309902048
2019-04-30,7,RISK,0.22822356105010402
2019-05-31,7,RISK,0.24186999223845518
2019-06-28,7,RISK,0.19453204319000292
2019-07-31,7,RISK,0.18723093438544286
2019-08-30,7,RISK,0.2087376080493482
2019-09-30,8,RISK,0.2054885630700049
2019-10-31,8,RISK,0.21061161838257164
2019-11-29,8,RISK,0.17902681219659433
2019-12-31,8,RISK,0.17925185101616678
2020-01-23,8,RISK,0.19382304504919012
2020-02-28,8,RISK,0.22594987442350728
